total_population,rural_population,urban_population,code,state,district,total,rural,urban
319912,226803,93109,563,KARNATAKA,UTTARA KANNADA,0.3910450374,0.5035206765,0.1170670934
259396,213217,46179,560,KARNATAKA,KOPPAL,0.149578251,0.1566479221,0.1169362697
465245,311531,153714,579,KARNATAKA,GULBARGA,0.1719524122,0.1996591029,0.1157994717
474149,359858,114291,524,MAHARASHTRA,LATUR,0.118528142,0.1197694646,0.1146196988
615334,153259,462075,439,MADHYA PRADESH,INDORE,0.1334234741,0.1905271469,0.1144835795
1180293,661977,518316,516,MAHARASHTRA,NASHIK,0.2906058072,0.4285647387,0.1144089706
614353,561905,52448,158,UTTAR PRADESH,RAE BARELI,0.2378111607,0.2493304028,0.1143990238
369482,317002,52480,387,ODISHA,PURI,0.2335702416,0.2533107047,0.1143292683
518201,418787,99414,152,UTTAR PRADESH,SHAHJAHANPUR,0.3465836616,0.4018749388,0.1136660832
14610,11078,3532,247,ARUNACHAL PRADESH,East Kameng,5.154004107,6.761148222,0.1132502831
610904,501193,109711,149,UTTAR PRADESH,BADAUN,0.2478294462,0.2773382709,0.1130242182
963825,708067,255756,555,KARNATAKA,BELGAUM,0.1921510648,0.2207418225,0.1129983265
63620,56508,7112,296,MEGHALAYA,WEST KHASI HILLS,1.409933983,1.573228569,0.1124859393
268383,209603,58780,309,ASSAM,TINSUKIA,0.1933803557,0.2161228608,0.1122830895
2377056,207628,2169428,572,KARNATAKA,BANGALORE,0.1113141634,0.1088485175,0.1115501413
145990,119791,26199,8,JAMMU & KASHMIR,BARAMULA,0.2260428796,0.2512709636,0.1106912478
33476,13537,19939,248,ARUNACHAL PRADESH,Papum Pare,0.4480822081,0.9455566226,0.1103365264
901748,717718,184030,522,MAHARASHTRA,AHMADNAGAR,0.1935130436,0.2148476142,0.1103081019
391135,247752,143383,501,MAHARASHTRA,AKOLA,0.1262991039,0.1356194905,0.1101943745
336407,316419,19988,24,HIMACHAL PRADESH,KANGRA,0.06569423347,0.06289129287,0.1100660396
535561,500060,35501,183,UTTAR PRADESH,GONDA,0.3200382403,0.3349598048,0.1098560604
487750,91084,396666,444,MADHYA PRADESH,BHOPAL,0.119528447,0.163585262,0.1094119486
217994,165883,52111,369,JHARKHAND,SARAIKELA-KHARSAWAN,1.855555657,2.404104097,0.1093818963
241433,183767,57666,458,MADHYA PRADESH,GUNA,0.2133096967,0.2459636387,0.1092498179
41347,35804,5543,261,NAGALAND,MON,0.3192492805,0.351915987,0.1082446329
370885,299608,71277,425,MADHYA PRADESH,CHHATARPUR,0.2210927916,0.2479907079,0.108029238
566831,425082,141749,381,ODISHA,CUTTACK,0.1896508836,0.2168993277,0.1079372694
248829,178958,69871,372,ODISHA,SAMBALPUR,0.177230146,0.204517261,0.1073406707
128818,112872,15946,389,ODISHA,GAJAPATI,0.3765001785,0.4146289602,0.1066098081
128634,102297,26337,39,PUNJAB,SHAHID BHAGAT SINGH NAGAR (NAWAN SHAHR),0.1422640981,0.1515195949,0.1063143107
244198,203748,40450,578,KARNATAKA,CHAMARAJANAGAR,0.2538923333,0.2831929639,0.1063040791
157020,137261,19759,87,HARYANA,MEWAT,0.4801936059,0.5340191314,0.1062806822
249187,220889,28298,454,MADHYA PRADESH,MANDLA,0.5975432105,0.6605127462,0.1060145593
319623,270533,49090,497,MAHARASHTRA,NANDURBAR,5.784940383,6.815434716,0.1059278876
272173,215334,56839,570,KARNATAKA,CHIKMAGALUR,0.3975412697,0.4746115337,0.1055613223
30246,25476,4770,243,SIKKIM,SOUTH SIKKIM,0.1024928916,0.1020568378,0.1048218029
1075780,870607,205173,546,ANDHRA PRADESH,WEST GODAVARI,0.09537265984,0.09326825996,0.104302223
272941,218256,54685,310,ASSAM,DIBRUGARH,0.2000432328,0.2240488234,0.1042333364
875432,720569,154863,539,TELANGANA,NALGONDA,0.215779181,0.2398104831,0.1039628575
361664,309691,51973,403,CHHATTISGARH,Raigarh,0.116682888,0.1188281222,0.103900102
656303,487624,168679,511,MAHARASHTRA,NANDED,0.1881752788,0.2173806047,0.1037473544
57357,49612,7745,294,MEGHALAYA,EAST GARO HILLS,0.9868019597,1.124727888,0.1032924467
404840,272929,131911,567,KARNATAKA,DAVANAGERE,0.1427724533,0.16194688,0.1030998173
150103,135540,14563,363,JHARKHAND,JAMTARA,0.2105221082,0.2220746643,0.1030007553
185523,169007,16516,304,ASSAM,MORIGAON,0.697487643,0.7555900051,0.1029304916
228163,133009,95154,71,HARYANA,YAMUNANAGAR,0.07012530515,0.04811704471,0.1008890851
247616,204994,42622,452,MADHYA PRADESH,NARSINGHPUR,0.3521581804,0.4044020801,0.1008868659
297419,231876,65543,443,MADHYA PRADESH,VIDISHA,0.1116270312,0.1147164864,0.1006972522
640385,513041,127344,510,MAHARASHTRA,YAVATMAL,0.1920719567,0.2149925639,0.09972986556
257892,217490,40402,502,MAHARASHTRA,WASHIM,0.1958184046,0.2138029335,0.09900499975
480453,342707,137746,597,KERALA,KOTTAYAM,0.1307099758,0.1435628686,0.09873244958
478753,390426,88327,429,MADHYA PRADESH,SATNA,0.1612522532,0.1754493809,0.09849762813
56794,47620,9174,9,JAMMU & KASHMIR,BANDIPORA,3.528541747,4.189416212,0.09810333551
424336,230295,194041,477,GUJARAT,JAMNAGAR,0.1776893782,0.2453375019,0.09740209543
274210,214616,59594,446,MADHYA PRADESH,RAISEN,0.6312680063,0.779531815,0.09732523408
553031,445247,107784,500,MAHARASHTRA,BULDHANA,0.1911285262,0.2140385,0.09648927485
938822,325798,613024,602,TAMILNADU,THIRUVALLUR,0.08255025979,0.05647671256,0.09640731847
373877,269763,104114,99,RAJASTHAN,GANGANAGAR,0.8085546851,1.083543703,0.09604856215
155352,137639,17713,323,ASSAM,NALIBARI,0.3430918173,0.3748937438,0.09597470784
596605,475145,121460,543,ANDHRA PRADESH,VIZIANAGARAM,0.1270522372,0.1351166486,0.0955046929
427164,297069,130095,482,GUJARAT,ANAND,0.06788961617,0.05587927384,0.09531496214
356362,303041,53321,423,MADHYA PRADESH,SHIVPURI,0.1939039516,0.2115225333,0.0937716847
637446,424563,212883,503,MAHARASHTRA,AMRAVATI,0.3931313398,0.5433822542,0.09347857743
372054,157960,214094,562,KARNATAKA,DHARWAD,0.1112741699,0.1361104077,0.09294982578
289431,241802,47629,507,MAHARASHTRA,GONDIYA,0.09570502123,0.0963598316,0.09238069244
248370,207674,40696,162,UTTAR PRADESH,AURAIYA,0.4372508757,0.5051185993,0.09091802634
425907,318040,107867,471,GUJARAT,MEHESANA,0.05987222563,0.04936485977,0.09085262406
2027743,0,2027743,518,MAHARASHTRA,MUMBAI SUBURBAN,0.09069196639,0,0.09069196639
683825,232228,451597,591,KERALA,KOZHIKODE,0.1045589149,0.1317670565,0.09056747498
134624,83664,50960,371,ODISHA,JHARSUGUDA,0.1827311623,0.2390514439,0.09026687598
423607,338086,85521,105,RAJASTHAN,BHARATPUR,0.2679370265,0.3129381282,0.09003636534
238474,220630,17844,462,MADHYA PRADESH,SIDHI,0.2784370623,0.293704392,0.08966599417
185403,178686,6717,590,KERALA,WAYANAD,0.293954251,0.3016464636,0.08932559178
515029,236023,279006,451,MADHYA PRADESH,JABALPUR,0.1021301713,0.1173614436,0.08924539257
993809,354476,639333,604,TAMILNADU,KANCHEEPURAM,0.08381892295,0.07447612814,0.08899900365
710036,630131,79905,153,UTTAR PRADESH,KHERI,0.6534879922,0.7250873231,0.08885551593
169128,126261,42867,85,HARYANA,REWARI,0.1951184901,0.2312669787,0.08864627802
252562,174226,78336,449,MADHYA PRADESH,HOSHANGABAD,0.2830988035,0.3707827764,0.08808210784
313274,277982,35292,456,MADHYA PRADESH,SEONI,0.07597183296,0.07446525315,0.08783860365
52356,44386,7970,65,UTTARAKHAND,CHAMPAWAT,4.379631752,5.150272608,0.0878293601
663276,373677,289599,600,KERALA,KOLLAM,0.134182452,0.1702004672,0.08770748518
302680,210284,92396,504,MAHARASHTRA,WARDHA,0.1162944364,0.1288733332,0.08766613273
259794,200171,59623,584,KARNATAKA,RAMANAGARA,0.1720594009,0.1973312818,0.08721466548
393379,333645,59734,528,MAHARASHTRA,RATNAGIRI,0.1685397543,0.1831287746,0.08705259986
144429,121448,22981,431,MADHYA PRADESH,UMARIA,0.1350144362,0.1440945919,0.08702841478
304742,220809,83933,437,MADHYA PRADESH,DEWAS,0.1174764227,0.1290708259,0.08697413413
383664,301647,82017,103,RAJASTHAN,JHUNJHUNUN,0.1099920764,0.1163611771,0.08656741895
362309,286015,76294,419,MADHYA PRADESH,MORENA,0.2136298022,0.2475394647,0.08650745799
2430616,526397,1904219,517,MAHARASHTRA,THANE,0.1435850007,0.3501159771,0.08649215243
341848,289795,52053,442,MADHYA PRADESH,RAJGARH,0.2097423416,0.2318880588,0.08645034868
558626,531928,26698,189,UTTAR PRADESH,KUSHINAGAR,0.3462065854,0.3592591479,0.08614877519
478497,404203,74294,472,GUJARAT,SABARKANTHA,0.05496377198,0.04923268754,0.08614423776
138303,118509,19794,576,KARNATAKA,KODAGU,0.8069239279,0.9273557283,0.0858846115
233118,181811,51307,312,ASSAM,JORHAT,0.6734786675,0.8393331537,0.0857582786
112276,74819,37457,54,PUNJAB,BARNALA,0.0757062952,0.07083762146,0.08543129455
636394,495885,140509,571,KARNATAKA,TUMKUR,0.1115661053,0.1189791988,0.08540378196
269658,180286,89372,76,HARYANA,SONIPAT,0.07898894155,0.07599037086,0.08503781945
275333,214002,61331,161,UTTAR PRADESH,ETAWAH,0.3592014034,0.4378463753,0.08478583424
284551,194003,90548,74,HARYANA,KARNAL,0.1110521488,0.1242248831,0.08282899678
395060,3720,391340,92,NCT OF DELHI,NORTH EAST DELHI,0.08302536324,0.1612903226,0.08228139214
596514,376520,219994,520,MAHARASHTRA,RAIGARH,0.2596753806,0.3635929034,0.08182041328
320833,252219,68614,192,UTTAR PRADESH,MAU,0.3939744353,0.47894885,0.08161599674
481704,291383,190321,565,KARNATAKA,BELLARY,0.1249730125,0.1534063415,0.08144135434
191228,145530,45698,42,PUNJAB,MOGA,0.1333486728,0.1497972927,0.08096634426
366578,309603,56975,440,MADHYA PRADESH,KHARGONE (WEST NIMAR),0.09847835931,0.1017432002,0.08073716542
275773,223299,52474,506,MAHARASHTRA,BHANDARA,0.1142243802,0.1222576008,0.08003963868
121780,107941,13839,293,MEGHALAYA,WEST GARO HILLS,0.8433240269,0.9412549448,0.07948551196
235061,6785,228276,55,CHANDIGARH,CHANDIGARH,0.07742671051,0.01473839352,0.0792899823
81241,71063,10178,12,JAMMU & KASHMIR,PULWAMA,0.6092982607,0.6853074033,0.07860090391
736587,419120,317467,515,MAHARASHTRA,AURANGABAD,0.1357612882,0.179184959,0.07843334898
319968,285389,34579,599,KERALA,PATHANAMTHITTA,0.1562656266,0.1657386935,0.07808207293
15541,12952,2589,249,ARUNACHAL PRADESH,Upper Subansiri,4.478476289,5.358245831,0.07724990344
438389,330846,107543,455,MADHYA PRADESH,CHHINDWARA,0.1532885177,0.1780284483,0.07717843095
131747,121337,10410,465,MADHYA PRADESH,ALIRAJPUR,2.06456314,2.235097291,0.07684918348
43249,36626,6623,11,JAMMU & KASHMIR,GANDERBAL,0.3098337534,0.3522088134,0.0754944889
743830,246928,496902,594,KERALA,THRISSUR,0.09356976729,0.1299974082,0.07546759723
509355,376804,132551,427,MADHYA PRADESH,SAGAR,0.1268270656,0.1449029204,0.07544265981
595178,549894,45284,180,UTTAR PRADESH,BAHRAICH,0.4744799035,0.5073705114,0.07508170656
325046,221028,104018,80,HARYANA,HISAR,0.2347360066,0.3099154858,0.07498702148
302016,155851,146165,21,JAMMU & KASHMIR,JAMMU,0.1178745497,0.1584847065,0.07457325625
329872,294997,34875,485,GUJARAT,DAHOD,0.1749163312,0.1867815605,0.07455197133
306807,265210,41597,414,CHHATTISGARH,Bastar,0.8937214601,1.022208816,0.07452460514
828774,390607,438167,601,KERALA,THIRUVANANTHAPURAM,0.1522731167,0.239627042,0.07440085629
431212,309898,121314,35,PUNJAB,GURDASPUR,0.1477231617,0.1765096903,0.07418764528
804343,683022,121321,607,TAMILNADU,VILUPPURAM,0.07098961513,0.070422329,0.07418336479
689323,580048,109275,542,ANDHRA PRADESH,SRIKAKULAM,0.1350600517,0.1465395967,0.07412491421
220388,114922,105466,75,HARYANA,PANIPAT,0.1270486596,0.1757713928,0.07395748393
493597,394235,99362,122,RAJASTHAN,BHILWARA,0.09278824628,0.09765748855,0.0734687305
523703,1151,522552,96,NCT OF DELHI,WEST DELHI,0.07275115858,0.08688097307,0.07272003552
147127,115334,31793,47,PUNJAB,MANSA,0.1060308441,0.1153172525,0.07234296858
528275,245849,282426,598,KERALA,ALAPPUZHA,0.1046803275,0.1423638087,0.0718772351
282208,237475,44733,129,RAJASTHAN,JHALAWAR,0.07370450164,0.07411306453,0.07153555541
110981,88422,22559,448,MADHYA PRADESH,HARDA,0.1405646011,0.1583316369,0.07092512966
267762,165969,101793,588,KERALA,KASARAGOD,0.2965319948,0.4350209979,0.0707317792
224745,162398,62347,583,KARNATAKA,BANGALORE RURAL,0.08454025674,0.08990258501,0.07057276212
97090,84317,12773,32,HIMACHAL PRADESH,SIRMAUR,0.08651766402,0.0889500338,0.07046112894
139257,126476,12781,64,UTTARAKHAND,ALMORA,2.545653001,2.795787343,0.07041702527
18691,15850,2841,271,NAGALAND,PEREN,1.610400728,1.886435331,0.07039774727
248783,204690,44093,460,MADHYA PRADESH,SHAHDOL,0.155155296,0.1734329962,0.07030594425
320642,88013,232629,86,HARYANA,GURGAON,0.1178884862,0.2442820947,0.07006865008
203272,181790,21482,307,ASSAM,LAKHIMPUR,1.040969735,1.155729138,0.06982590075
168525,145235,23290,84,HARYANA,MAHENDRAGARH,0.1228304406,0.1315109994,0.06869901245
316278,109179,207099,141,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0.1486034438,0.3004240742,0.06856624127
99219,86083,13136,2,JAMMU & KASHMIR,BADGAM,1.414043681,1.619367355,0.06851400731
945943,237155,708788,632,TAMILNADU,COIMBOTORE,0.06617734895,0.05945478695,0.06842666637
305342,274590,30752,321,ASSAM,KAMRUP (RURAL),0.462432289,0.5065734368,0.06828824142
384278,237288,146990,435,MADHYA PRADESH,UJJAIN,0.1009685696,0.1213714979,0.0680318389
175666,129968,45698,432,MADHYA PRADESH,NEEMUCH,0.08652784261,0.09309983996,0.06783666681
26953,22516,4437,415,CHHATTISGARH,Narayanpur,0.7420324268,0.8749333807,0.0676132522
426578,354049,72529,573,KARNATAKA,MANDYA,0.0956448762,0.101398394,0.06755918322
111542,95130,16412,62,UTTARAKHAND,PITHORAGARH,2.493231249,2.911804899,0.06702412869
369505,144130,225375,421,MADHYA PRADESH,GWALIOR,0.4008064844,0.9227780476,0.06699944537
277071,180798,96273,404,CHHATTISGARH,Korba,2.801087086,4.257237359,0.06647762093
172792,122957,49835,44,PUNJAB,MUKTSAR,0.1140099079,0.1333799621,0.06621852112
34487,32968,1519,272,MANIPUR,SENAPATI,1.974657117,2.062606164,0.06583278473
240321,191575,48746,128,RAJASTHAN,BARAN,0.3636802443,0.4395145504,0.06564641201
615895,475742,140153,406,CHHATTISGARH,Bilaspur,0.7226881205,0.916252927,0.06564254779
202260,161080,41180,117,RAJASTHAN,SIROHI,0.1858993375,0.2166625279,0.06556580864
198922,84366,114556,611,TAMILNADU,THE NILGIRIES,0.09702295372,0.139866771,0.06547016306
202933,115506,87427,82,HARYANA,ROHTAK,0.08426426456,0.09869617163,0.06519725028
520566,472991,47575,401,CHHATTISGARH,Surguja,0.5912794919,0.644198304,0.06516027325
529612,352643,176969,509,MAHARASHTRA,CHANDRAPUR,0.1080035951,0.1295928177,0.06498313264
284411,229006,55405,433,MADHYA PRADESH,MANDSAUR,0.09739426393,0.1052374174,0.06497608519
276976,264649,12327,596,KERALA,IDUKKI,1.505545607,1.572649056,0.06489819096
335711,304695,31016,210,BIHAR,KISHANGANJ,0.2105978059,0.225471373,0.06448284756
190527,175008,15519,402,CHHATTISGARH,Jashpur,3.750124654,4.076956482,0.06443714157
287200,160460,126740,473,GUJARAT,GANDHINAGAR,0.05640668524,0.05047987037,0.06391036768
688422,401655,286767,577,KARNATAKA,MYSORE,0.11126896,0.1453984141,0.06346615894
278370,253118,25252,383,ODISHA,DHENKANAL,0.1616553508,0.1714615318,0.06336131792
290829,256059,34770,109,RAJASTHAN,DAUSA,0.1602316138,0.1733975373,0.06327293644
626578,413367,213211,113,RAJASTHAN,JODHPUR,0.7992620232,1.179097509,0.06284853971
927318,537022,390296,605,TAMILNADU,VELLORE,0.06815353525,0.07206408676,0.06277286982
17296,7664,9632,282,MIZORAM,KOLASIB,0.1445420907,0.2479123173,0.0622923588
289026,234239,54787,450,MADHYA PRADESH,KATNI,0.1231723098,0.1374664339,0.06205851753
29097,25860,3237,280,MANIPUR,CHANDEL,1.237240953,1.384377417,0.06178560395
774595,437511,337084,592,KERALA,MALAPPURAM,0.092306302,0.1158828007,0.0617056876
425291,220806,204485,575,KARNATAKA,DAKSHINA KANNADA,0.4030181687,0.7191833555,0.0616182116
374167,271536,102631,43,PUNJAB,FIROZPUR,0.1670377131,0.2069707147,0.06138496166
265657,216711,48946,466,MADHYA PRADESH,KHANDWA(EAST NIMAR),0.09071848286,0.09736469307,0.06129203612
483931,294870,189061,119,RAJASTHAN,AJMER,0.1640729773,0.2302709669,0.06082692887
858981,583706,275275,526,MAHARASHTRA,SOLAPUR,0.1186289336,0.146306531,0.05994005994
628287,476318,151969,593,KERALA,PALAKKAD,0.1340151873,0.1578777203,0.05922260461
220071,177525,42546,121,RAJASTHAN,BUNDI,0.1699451541,0.1965920293,0.05875993043
114060,90207,23853,348,JHARKHAND,KODARMA,0.2980887252,0.3613910229,0.0586928269
462134,358132,104002,483,GUJARAT,KHEDA,0.08763691916,0.09605396893,0.05865271822
64842,59681,5161,299,MEGHALAYA,JAINTIA HILLS,0.7217544184,0.7791424406,0.05812826972
224853,202469,22384,313,ASSAM,GOLAGHAT,0.6817787621,0.7507322109,0.058077198
861067,561916,299151,410,CHHATTISGARH,Raipur,0.6947194585,1.033962372,0.05749604715
450062,344807,105255,631,TAMILNADU,KRISHNGIRI,0.07932240447,0.08613514227,0.05700441784
168819,126225,42594,461,MADHYA PRADESH,ANUPPUR,0.1498646479,0.1814220638,0.05634596422
243061,205589,37472,441,MADHYA PRADESH,BARWANI,0.3785058072,0.4372802047,0.05604184458
628913,505266,123647,104,RAJASTHAN,ALWAR,0.2127480272,0.2511548373,0.05580402274
66558,61149,5409,56,UTTARAKHAND,UTTARKASHI,2.540641245,2.760470327,0.05546311703
178046,163574,14472,131,RAJASTHAN,PRATAPGARH,0.7683407659,0,0.05527915976
593264,477106,116158,606,TAMILNADU,TIRUVANNAMALAI,0.07736859139,0.08279082636,0.05509736738
326449,268363,58086,126,RAJASTHAN,CHITTAURGARH,0.08730307031,0.0942752913,0.05509072754
464324,239037,225287,627,TAMILNADU,THOOTHUKKUDI,0.04415020546,0.03388596744,0.05504090338
144748,124647,20101,418,MADHYA PRADESH,SHEOPUR,1.135076132,1.309297456,0.05472364559
340965,158207,182758,624,TAMILNADU,THENI,0.2058862347,0.3805141365,0.05471716696
93562,77104,16458,19,JAMMU & KASHMIR,UDHAMPUR,0.1763536478,0.2023241336,0.05468465184
200221,154438,45783,73,HARYANA,KAITHAL,0.05394039586,0.05374324972,0.05460542123
341960,236937,105023,622,TAMILNADU,SIVAGANGA,0.09006901392,0.105935333,0.05427382573
85765,72744,13021,57,UTTARAKHAND,CHAMOLI,4.832973824,5.688441658,0.05375931188
293116,211063,82053,434,MADHYA PRADESH,RATLAM,0.1146303852,0.1383473181,0.05362387725
80453,74661,5792,30,HIMACHAL PRADESH,BILASPUR,0.04101773706,0.04018162093,0.05179558011
16405,12542,3863,246,ARUNACHAL PRADESH,West Kameng,0.50594331,0.6458300112,0.05177323324
821483,556628,264855,530,MAHARASHTRA,KOLHAPUR,0.1390168756,0.1805514635,0.05172641634
159536,126467,33069,422,MADHYA PRADESH,DATIA,0.117841741,0.1352131386,0.05140766277
543209,198846,344363,589,KERALA,KANNUR,0.09904106891,0.182050431,0.05110885897
542464,303727,238737,481,GUJARAT,BHAVNAGAR,0.07705580462,0.09745593905,0.05110225897
57712,55748,1964,63,UTTARAKHAND,BAGESHWAR,1.781258664,1.842218555,0.05091649695
180071,168278,11793,300,ASSAM,KOKRAJHAR,0.4998028555,0.5312637421,0.05087763928
347351,254921,92430,102,RAJASTHAN,CHURU,0.1134299311,0.1361206021,0.05084929136
891657,618314,273343,499,MAHARASHTRA,JALGAON,0.1263938936,0.1599510928,0.0504860194
109699,99791,9908,29,HIMACHAL PRADESH,UNA,0.0838658511,0.08718221082,0.0504642713
28428,24444,3984,253,ARUNACHAL,Changlang,0.7879555368,0.9081983309,0.05020080321
325344,199642,125702,68,UTTARAKHAND,HARIDWAR,0.1346267335,0.1878362268,0.05011853431
526674,346939,179735,479,GUJARAT,JUNAGADH,0.1196185876,0.1556469581,0.05007371964
730034,41486,688548,90,NCT OF DELHI,NORTH WEST DELHI,0.05383310914,0.1181121342,0.04996020611
78620,72580,6040,16,JAMMU & KASHMIR,DODA,0.8318494022,0.8969413061,0.04966887417
19485,15458,4027,254,ARUNACHAL PRADESH,Tirap,0.3079291763,0.3752102471,0.04966476285
10703,2523,8180,587,LAKSHADWEEP,LAKSHADWEEP,0.03737269924,0,0.0488997555
462772,26493,436279,97,NCT OF DELHI,SOUTH WEST DELHI,0.04753960914,0.03019665572,0.0485927583
693001,422563,270438,409,CHHATTISGARH,Durg,0.05757567449,0.06342249558,0.04843993817
563172,352757,210415,612,TAMILNADU,DINDIGUL,0.1031656403,0.1360710064,0.0480003802
639999,518187,121812,527,MAHARASHTRA,SATARA,0.1090626704,0.1235075369,0.04761435655
308812,245761,63051,81,HARYANA,BHIWANI,0.1123660998,0.1289871054,0.04758053005
429292,339911,89381,574,KARNATAKA,HASSAN,0.08712018859,0.09767262607,0.04698985243
585227,432579,152648,531,MAHARASHTRA,SANGLI,0.09380975246,0.110731219,0.04585713537
91302,80295,11007,356,JHARKHAND,LOHARDAGA,0.261768636,0.291425369,0.04542563823
180578,167362,13216,353,JHARKHAND,PAKUR,0.3051313006,0.325641424,0.04539951574
995808,324568,671240,505,MAHARASHTRA,NAGPUR,0.08766750217,0.1753099505,0.0452893153
329694,258523,71171,38,PUNJAB,HOSHIARPUR,0.05793250711,0.06150323182,0.04496213345
251586,206935,44651,445,MADHYA PRADESH,SEHORE,0.07909820101,0.08650059197,0.04479182997
361928,215288,146640,491,GUJARAT,VALSAD,0.09117835592,0.1230909294,0.04432624113
10883,8626,2257,258,ARUNACHAL PRADESH,Lower Dibang Valley,11.23771019,14.16647345,0.04430660168
440804,420420,20384,208,BIHAR,SUPAUL,0.4233173928,0.441701156,0.0441522763
791737,256310,535427,595,KERALA,ERNAKULAM,0.08525558361,0.1712769693,0.04407697034
445713,347063,98650,111,RAJASTHAN,SIKAR,0.119134959,0.1406084774,0.04358844399
2076607,744114,1332493,521,MAHARASHTRA,PUNE,0.08942472023,0.1716134893,0.04352743316
48448,43842,4606,489,GUJARAT,THE DANGS,0.1775099075,0.1915970987,0.04342162397
782631,313713,468918,476,GUJARAT,RAJKOT,0.05162075103,0.06439006353,0.04307789422
617921,496777,121144,130,RAJASTHAN,UDAIPUR,1.243686491,1.536504307,0.04292412336
327971,262679,65292,619,TAMILNADU,THIRUVARUR,0.04085727092,0.04035343518,0.04288427372
380924,315563,65361,630,TAMILNADU,DHARAMPURI,0.068255085,0.07351939232,0.04283900185
918899,454964,463935,608,TAMILNADU,SALEM,0.1038198975,0.1661669934,0.04267839245
390628,312868,77760,621,TAMILNADU,PUDUKKOTTAI,0.1226230583,0.1425521306,0.0424382716
175890,3184,172706,91,NCT OF DELHI,NORTH DELHI,0.04207174939,0.03140703518,0.04226836358
180770,130864,49906,33,HIMACHAL PRADESH,SHIMLA,0.08242518117,0.09781146839,0.04207910872
256504,230027,26477,411,CHHATTISGARH,Mahasamund,0.073293204,0.07694748877,0.04154549231
820327,422597,397730,628,TAMILNADU,TIRUNELVEL,0.04559157507,0.0494561012,0.04148542981
158184,141247,16937,413,CHHATTISGARH,KANKER (UTTAR BASTAR KANKER),1.713194761,1.913668963,0.04132963335
797939,319126,478813,623,TAMILNADU,MADURAI,0.04699607363,0.05577734186,0.04114341089
101972,94574,7398,23,HIMACHAL PRADESH,CHAMBA,0.1078727494,0.1131389177,0.04055150041
190667,188191,2476,324,ASSAM,BAKSA,0.5333906759,0.5398770398,0.04038772213
298266,243638,54628,436,MADHYA PRADESH,SHAJAPUR,0.1542247524,0.179774912,0.04027238779
180503,173025,7478,187,UTTAR PRADESH,MAHARAJGANJ,0.3606588256,0.3745123537,0.04011767852
377496,330103,47393,405,CHHATTISGARH,Janjgir - Champa,0.1271536652,0.1396533809,0.0400903087
540132,266882,273250,625,TAMILNADU,VIRUDHUNAGAR,0.04887694119,0.05807810193,0.03989021043
25660,15604,10056,284,MIZORAM,CHAMPHAI,0.3897116134,0.6152268649,0.03977724741
160832,84694,76138,298,MEGHALAYA,EAST KHASI HILLS,0.1946130123,0.3341440952,0.03940213822
428992,341833,87159,118,RAJASTHAN,PALI,0.2277431747,0.2758657005,0.03900916715
81912,17157,64755,283,MIZORAM,AIZAWL,0.3747924602,1.643643994,0.03860705737
176758,158483,18275,407,CHHATTISGARH,Kawardha (Kabeerdham),1.468674685,1.6336137,0.03830369357
394310,341221,53089,457,MADHYA PRADESH,BALAGHAT,0.163069666,0.1825796185,0.03767258754
114587,0,114587,95,NCT OF DELHI,CENTRAL DELHI,0.03752607189,7,0.03752607189
294071,218891,75180,480,GUJARAT,AMRELI,0.1183387685,0.1461914834,0.03724394786
637422,425191,212231,617,TAMILNADU,CUDDALORE,0.0473783459,0.05244701793,0.03722359128
244582,187059,57523,77,HARYANA,JIND,0.08381647055,0.09836468708,0.03650713628
133494,116988,16506,59,UTTARAKHAND,TEHRI GARHWAL,2.243546526,2.554962902,0.03635041803
18212,15442,2770,4,JAMMU & KASHMIR,KARGIL,9.943992972,11.72127963,0.03610108303
175717,159096,16621,493,GUJARAT,TAPI,0.09162460092,0.09742545381,0.03609891102
315535,256900,58635,408,CHHATTISGARH,Rajnandgaon,0.3505157906,0.4223433243,0.03581478639
118193,76262,41931,45,PUNJAB,FARIDKOT,0.1142199623,0.1573522855,0.03577305573
314030,215367,98663,53,PUNJAB,SANGRUR,0.07228608732,0.08915014835,0.03547429127
561128,479308,81820,469,GUJARAT,BANAS KANTHA,0.1753610584,0.199245579,0.03544365681
52136,26421,25715,270,NAGALAND,KOHIMA,0.07864047875,0.1211157791,0.0349990278
187108,112670,74438,66,UTTARAKHAND,NAINITAL,0.9764414135,1.598473418,0.03492839679
716104,278323,437781,41,PUNJAB,LUDHIANA,0.06884474881,0.1225195187,0.03472055663
412656,323340,89316,618,TAMILNADU,NAGAPATTINAM,0.03804621767,0.0389682687,0.03470822697
76732,36034,40698,265,NAGALAND,DIMAPUR,0.08080070896,0.1332075262,0.0343997248
361740,209720,152020,48,PUNJAB,PATIALA,0.06828108586,0.09298111768,0.03420602552
408700,298915,109785,498,MAHARASHTRA,DHULE,0.2366038659,0.3111252363,0.03370223619
144154,96440,47714,467,MADHYA PRADESH,BURHANPUR,0.07006395938,0.0881377022,0.03353313493
327074,260878,66196,447,MADHYA PRADESH,BETUL,1.71276225,2.138930841,0.03323463653
198106,176818,21288,616,TAMILNADU,ARIYALUR,0.04593500449,0.04750647559,0.03288237505
379825,149275,230550,127,RAJASTHAN,KOTA,0.06450338972,0.1138837716,0.03253090436
19095,12904,6191,251,ARUNACHAL PRADESH,East Siang,1.691542289,2.487600744,0.03230495881
