total_population,rural_population,urban_population,code,state,district,total,rural,urban
17204,14048,3156,281,MIZORAM,MAMIT,1.819344339,2.135535308,0.411913815
294718,256548,38170,196,UTTAR PRADESH,CHANDAULI,0.4648511458,0.4794424435,0.3667801939
541704,301485,240219,197,UTTAR PRADESH,VARANASI,0.4244015182,0.4710018741,0.3659161016
499179,207157,292022,354,JHARKHAND,DHANBAD,0.3383555799,0.3026689902,0.3636712302
563306,458960,104346,224,BIHAR,BHAGALPUR,0.4690168399,0.4939428273,0.3593812892
20777,14590,6187,3,JAMMU & KASHMIR,LEH,12.73042306,17.97806717,0.3555842896
44891,28147,16744,275,MANIPUR,BISHNUPUR,0.3341427012,0.323302661,0.3523650263
265588,237411,28177,380,ODISHA,JAGATSINGHPUR,0.4307423528,0.440164946,0.3513503922
45660,41925,3735,297,MEGHALAYA,RIBHOI,1.097240473,1.163983304,0.3480589023
984303,913167,71136,204,BIHAR,PURBA CHAMPARAN,0.4581922436,0.4670558616,0.3444107063
176991,152837,24118,314,ASSAM,KARBI ANGLONG,4.778209061,5.479039761,0.3441413052
262659,225191,37468,107,RAJASTHAN,KARAULI,1.715532306,1.944571497,0.338955909
850353,822111,28242,221,BIHAR,SAMASTIPUR,0.3497371092,0.3504392959,0.329296792
163474,129475,33999,169,UTTAR PRADESH,MAHOBA,0.7719882061,0.8889747055,0.3264801906
412147,271428,140719,147,UTTAR PRADESH,FIROZABAD,0.3173624944,0.3135269758,0.3247606933
390819,335481,55338,199,UTTAR PRADESH,MIRZAPUR,0.5890194694,0.6328227232,0.3234666956
947863,859579,88284,216,BIHAR,MUZAFFARPUR,0.3352805205,0.3367927788,0.3205563862
632626,595165,37461,220,BIHAR,VAISHALI,0.4157274598,0.4220678299,0.3149942607
1227257,754361,472896,547,ANDHRA PRADESH,KRISHNA,0.2802998883,0.2592923017,0.3138110705
415555,357782,57773,231,BIHAR,BHOJPUR,1.733103921,1.963486145,0.3063714884
1287831,877109,410722,548,ANDHRA PRADESH,GUNTUR,0.2298438227,0.1943886108,0.3055594782
703136,475919,227217,551,ANDHRA PRADESH,YSR (KADAPA),0.2430539753,0.2149525444,0.3019140293
588976,404600,184376,132,UTTAR PRADESH,SAHARANPUR,0.2511137975,0.2293623332,0.2988458368
672610,367102,305508,146,UTTAR PRADESH,AGRA,0.2560176031,0.2260951997,0.2919727143
62817,53197,9620,22,JAMMU & KASHMIR,SAMBA,0.0939236194,0.05827396282,0.2910602911
829843,242727,587116,140,UTTAR PRADESH,GHAZIABAD,0.2675204828,0.2150564214,0.2892103094
106777,96737,10040,1,JAMMU & KASHMIR,KUPWARA,2.779624826,3.038134323,0.2888446215
873859,750446,123413,538,TELANGANA,MAHABUBNAGAR,0.345822381,0.3563214408,0.2819800183
102654,93762,8892,365,JHARKHAND,KHUNTI,4.034913398,4.390904631,0.2811515969
690505,603194,87311,236,BIHAR,GAYA,0.9435123569,1.04012971,0.276024785
326918,267308,59610,200,UTTAR PRADESH,SONBHADRA,2.06014964,2.458212998,0.2751216239
404814,377001,27813,395,ODISHA,KALAHANDI,0.8448324416,0.8870002997,0.2732535145
83097,73160,9937,291,TRIPURA,DHALAI,4.228792857,4.766265719,0.2717117842
137450,126306,11144,399,ODISHA,MALKANGIRI,0.7209894507,0.7608506326,0.2692031587
376477,352651,23826,184,UTTAR PRADESH,SIDDHARTHNAGAR,0.3936495457,0.4020972576,0.268614119
168999,161808,7191,453,MADHYA PRADESH,DINDORI,2.100604146,2.18221596,0.2642191628
432081,387345,44736,393,ODISHA,BALANGIR,0.3751611388,0.388284346,0.2615343348
168047,159630,8417,326,ASSAM,UDALGURI,0.4576100734,0.4679571509,0.2613757871
7186,5652,1534,252,ARUNACHAL PRADESH,Upper Siang,6.498747565,8.191790517,0.260756193
148889,143121,5768,205,BIHAR,SHEOHAR,0.5695518138,0.5820249998,0.2600554785
354143,282019,72124,566,KARNATAKA,CHITRADURGA,0.5554253508,0.6311631486,0.2592756919
604612,406432,198180,143,UTTAR PRADESH,ALIGARH,0.3741242317,0.4310684198,0.2573418105
410783,290944,119839,145,UTTAR PRADESH,MATHURA,0.324015356,0.3516140563,0.2570114904
1022116,727635,294481,554,ANDHRA PRADESH,CHITTOOR,0.249775955,0.2476516385,0.2550249422
91806,54014,37792,278,MANIPUR,IMPHAL EAST,0.2897414112,0.3147332173,0.2540220152
164430,140728,23702,227,BIHAR,LAKHISARAI,0.9456911756,1.062333011,0.2531431947
961165,698439,262726,553,ANDHRA PRADESH,ANANTAPUR,0.234611123,0.2277936942,0.2527347883
544879,516701,28178,218,BIHAR,SIWAN,0.6206882629,0.6407961277,0.2519696217
659930,608684,51246,191,UTTAR PRADESH,AZAMGARH,0.2970011971,0.3008129013,0.2517269641
473021,416615,56406,172,UTTAR PRADESH,FATEHPUR,0.5259808761,0.5633498554,0.2499734071
391438,204021,187417,355,JHARKHAND,BOKARO,0.579402102,0.8832424113,0.2486433995
568745,268299,300446,138,UTTAR PRADESH,MEERUT,0.2494966989,0.2519577039,0.2472990155
152075,107424,44651,400,CHHATTISGARH,Koriya,3.393720204,4.701928805,0.2463550648
308291,283684,24607,238,BIHAR,JAMUI,0.8491976736,0.9017075337,0.2438330556
368212,339776,28436,214,BIHAR,SAHARSA,0.3473542416,0.3561169712,0.2426501618
805786,732270,73516,215,BIHAR,DARBHANGA,0.4147503183,0.432081063,0.2421241634
309527,274191,35336,378,ODISHA,BHADRAK,0.2994892206,0.307085207,0.2405478832
901539,871575,29964,207,BIHAR,MADHUBANI,0.4544451211,0.4618076471,0.240288346
50402,44544,5858,417,CHHATTISGARH,Bijapur,3.914527201,4.397898707,0.2389894162
